Kst./Maschine;Schichtfreigabemenge (Stück);Schichtausschussmenge ();Theoretische Schichtmenge (Stück);Menge% ();Aktuelle Schichtzeit ();Theoretische Schichtzeit ();Laufzeit% ()
16112/Szlifierka Junker;0;0;0;;0;0;
16114/Szlifierka Multimat Z1;0;0;0;;0;0;
16117/Multimat 250;0;0;0;;0;0;
16118/Paragon;71823;17;85090,90909;84,42735043;598;780;73,69230769
16121/Vicki;2202;6;2535,055351;87,09868996;312;458;69,37669377
40111/Tornos SAS16/40111;0;0;0;;0;0;
40112/Tornos SAS16/40112;17535;262;31942,46465;55,71580088;1690;3270;51,74953959
40113/Tornos SAS16 DC/40113;23279;201;59540;39,4356735;1188;2977;39,45716022
40114/Tornos SAS16/40114;23774;334;34374,54545;70,13329102;2063;3151;65,43681896
40115/Tornos SAS16/40115;0;0;0;;0;0;
40116/Tornos SAS16/40116;45572;459;58155;79,1522655;3191;3877;82,50737921
40117/Tornos SAS16.6/40117;38025;423;57495;66,8719019;2695;3833;70,1243507
40118/Tornos SAS16.6/40118;26455;230;38195,12195;69,86494253;2339;3132;74,04067536
40119/Tornos SAS16/40119;1863;12;3209,606987;58,41836735;142;245;54,81481481
40120/Tornos SAS16/40120;28700;255;37464;77,28752936;2341;3122;74,99038831
40121/Tornos SAS16.6/40121;23983;197;40226,08696;60,11024643;1596;2313;68,7711975
40130/Mori Say 620/40130;34723;321;60138,46154;58,27219238;2621;3909;66,69227224
40131/Mori Say 620/40131;19166;663;36687,5;54,0483816;2000;3522;56,82985279
40151/Tornos AS14/40151;80721;399;100883,1169;80,40988671;3524;3884;90,68901304
40152/Tornos AS14/40152;87002;460;104311,6883;83,84678785;3491;4016;87,3046875
40153/Tornos AS14/40153;38834;460;56850;69,11873351;2869;3790;75,2614897
40154/Tornos AS16/40154;87037;550;100357,5217;87,274973;3481;3848;90,52746567
40211/Schütte SF42/40211;0;0;0;;0;0;
40212/Schütte SF42/40212;0;0;0;;0;0;
40213/Schütte SF42/40213;3955;182;17715;23,3530906;1022;3543;28,83279688
40214/Schütte SF42/40214;0;0;0;;0;0;
40215/Schütte AF32/40215;6871;108;14858,33333;46,97027482;938;1783;52,25959905
40216/Schütte SF42/40216;26917;125;38925,32668;69,47147862;1669;2580;63,93023256
40217/Schütte AF32/40217;0;0;0;;0;0;
40218/Schuette AF26/40218;46;0;6836,842105;0,67282525;17;866;1,192145863
40219/Schütte AF42/40219;0;0;0;;0;0;
40220/Schütte SF51 40220;4355;72;12398,23009;35,70670949;917;2335;39,35149157
40271/Mori Say 642AC / 40271;4963;33;16074,4186;31,08043981;721;2304;31,40690377
40272/Mori Say 642AC / 40272;13853;403;41700;34,18705036;2109;4309;49,08378794
40273/MoriSay 667AC / 40273;34473;227;44966,03774;77,16935213;3367;3972;84,80036298
40274/Mori Say 667 40274;18789;168;32494,28571;58,33948826;2297;3791;60,48169862
40311/Gildemeister GS20/40311;18236;246;19229,77346;96,11137664;2616;2971;87,93348205
40312/Gildemeister GS20/40312;0;0;0;;0;0;
40313/Gildemeister GS20/40313;26620;287;35347,74985;76,12082837;2241;3024;74,06449045
40314/Gildemeister GS20/40314;38249;342;46530,8642;82,93634916;3366;3769;89,71035366
40315/Gildemeister GS20/40315;0;0;27309,52381;0;0;1147;0
40316/Gildemeister GS20/40316;0;0;0;;0;0;
40317/Gildemeister GS20/40317;25193;227;31296,2963;81,22366864;2322;2535;91,15065243
40318/Gildemeister GS20/40318;0;0;0;;0;0;
40319/Gildemeister GS20/40319;0;0;0;;0;0;
40320/Tornos Deco/40320;0;0;0;;0;0;
