Department,Machine_ID
Deco,40320
Deco,40321
Deco,40322
Deco,40324
Deco,40325
Deco,40327
Deco,40328
Deco,40329
Deco,40330
Deco,40331
Deco,40332
Deco,40333
Deco,40334
Deco,40335
Deco,40336
Deco,40337
Deco,40338
Deco,40339
Deco,40482
Deco,40483
Deco,40484
Deco,40485
Deco,40486
Deco,40487
Deco,40612
Deco,40613
Deco,40614
Emag,40273
Emag,40274
Emag,40411
Emag,40412
Emag,40413
Emag,40414
Emag,40415
Emag,40416
Emag,40417
Emag,40418
Emag,40419
Emag,40420
Emag,40421
Emag,40422
Emag,40428
Emag,40429
Emag,40431
Emag,40433
Emag,40434
Emag,40435
Emag,40436
Emag,40437
Emag,40438
Emag,40439
Emag,40451
Emag,40452
Emag,40461
Emag,40462
Emag,40463
Emag,40464
Emag,40465
Emag,40467
Emag,40970
Emag,40971
Emag,40970-L 
Emag,40970-P 
Emag,40971W  
Emag,40972-L 
Emag,40972-P 
Emag,40973-L 
Emag,40973-P 
Emag,40974-L 
Emag,40974-P 
Hartownia,50811
Hartownia,50813
Index G200,40430
Index G200,40440
Index G200,40471
Index G200,40472
Index G200,40473
Index G200,40474
Index G200,40475
Index G200,40476
Index G200,40477
Index G200,40481
Index G200,40492
Index G200,40493
Ms32,40401
Ms32,40402
Ms32,40403
Ms32,40404
Ms32,40405
Ms32,40406
Ms32,40407
Ms32,40408
Schuette,40211
Schuette,40213
Schuette,40214
Schuette,40215
Schuette,40216
Schuette,40218
Schuette,40219
Schuette,40220
Schuette,40271
Schuette,40272
Schuette,40351
Schuette,40352
Schuette,40353
Schuette,40354
Schuette,40355
Szlifiernia,16112
Szlifiernia,16113
Szlifiernia,16114
Szlifiernia,16115
Szlifiernia,16116
Szlifiernia,16117
Szlifiernia,16118
Szlifiernia,16119
Szlifiernia,16120
Szlifiernia,16121
Szlifiernia,16122
Szlifiernia,16123
Tornos,40111
Tornos,40112
Tornos,40113
Tornos,40114
Tornos,40115
Tornos,40116
Tornos,40117
Tornos,40118
Tornos,40119
Tornos,40120
Tornos,40121
Tornos,40130
Tornos,40131
Tornos,40132
Tornos,40133
Tornos,40151
Tornos,40152
Tornos,40153
Tornos,40154
Tornos,40311
Tornos,40312
Tornos,40313
Tornos,40314
Tornos,40315
Tornos,40316
Tornos,40317
Emag,40423
Emag,40424
Emag,40425
Emag,40426
Deco,40340
Tornos,40122
Schuette,40275
